"bin","ID","time_start_sec","time_end_sec","Distance_m","Mean_speed_m_s","Max_speed_m_s","Time_immobile_s","Immobile_episodes","Absolute_turn_angle_deg","Meander_deg_per_m","Bottom_entries","Bottom_time_s","Middle_entries","Middle_time_s","Top_entries","Top_time_s","Mean_dist_from_bottom_m","Acceleration_episodes_500ms","Acceleration_time_s","Tortuosity_episodes_1s","Tortuosity_time_s","Zone_count","IM_time_s","IM_episodes","NB_time_s","NB_episodes","HS_time_s","HS_episodes","TR_time_s","TR_episodes"
1,36,0,300,12.2896805800106,0.0409656019333688,0.136070884477315,0,0,19549.1861743143,1590.69929011103,23,228,38,42.7666666666667,15,26.2333333333333,0.0227880486752567,13,8.93333333333333,9,5.83333333333333,3,0,0,256.2,53,36.2666666666667,38,7.53333333333333,8
1,37,0,300,6.72024270086669,0.022400809002889,0.195651778103501,72.6666666666667,11,11853.4578595164,1763.84371623777,2,290.366666666667,3,3.8,1,2.83333333333333,0.00886377098316776,12,10.5333333333333,4,2.66666666666667,3,103.6,22,185.566666666667,39,10.8333333333333,12,0,0
1,38,0,300,14.983246966807,0.0499441565560234,0.121293828169723,0,0,25074.089180999,1673.47499754537,31,164.533333333333,67,84.9333333333333,36,47.5333333333333,0.0346809370456782,18,12,15,10.1333333333333,3,0,0,198.366666666667,90,67.2666666666667,68,34.3666666666667,43
1,39,0,300,12.6418531150058,0.0421395103833526,0.134678147324145,0,0,16791.4149225041,1328.23999533524,18,201.3,42,43.4666666666667,24,52.2333333333333,0.0263290007165767,20,13.7333333333333,14,8.83333333333333,3,0,0,224.766666666667,88,44.0333333333333,46,31.2,41
1,40,0,300,4.61795343560297,0.0153931781186766,0.277862467187021,157.4,9,12518.5524080108,2710.84422625328,0,297,0,0,0,0,0.00415331504664983,21,16.9666666666667,15,10.1333333333333,3,169.533333333333,19,95.0666666666667,43,33.5333333333333,29,1.86666666666667,5
1,41,0,300,9.10716488232582,0.0303572162744194,0.17896900006337,67.7,8,20160.4460426153,2213.69068234841,12,219.033333333333,29,31.2666666666667,17,46.7,0.0233357802167747,36,27.1666666666667,21,16.2333333333333,3,98.2666666666667,14,164.866666666667,51,27.5333333333333,24,9.33333333333333,12
1,42,0,300,21.9096666038646,0.0730322220128821,0.197350021630594,0,0,31531.5732209883,1439.16262127998,0,297,0,0,0,0,0.00492378386553746,113,85.4666666666667,16,12.2,3,0,0,239.033333333333,93,36.1666666666667,46,24.8,35
1,43,0,300,15.8507900176904,0.0528359667256347,0.146626376730264,0,0,25459.2247439611,1606.18017875116,24,197.066666666667,51,36.8666666666667,27,63.0666666666667,0.0286790984637038,29,23.6,22,14.2333333333333,3,0,0,252.133333333333,46,34.6666666666667,37,13.2,18
1,44,0,300,5.2675182539807,0.0175583941799357,0.302858672714707,223.066666666667,2,12691.7175509506,2409.43019824552,0,297,0,0,0,0,0.00334182646853543,53,43.0666666666667,9,6.2,3,168.7,32,72.6333333333333,34,27.4333333333333,31,31.2333333333333,28
1,45,0,300,21.6984812387298,0.0723282707957659,0.194556926800793,0,0,47049.0404049021,2168.31030187145,0,297,0,0,0,0,0.00525823951419074,106,80.5333333333333,32,21.9,3,2.03333333333333,1,197.3,66,92.8333333333333,66,7.83333333333333,11
1,46,0,300,25.2448370169884,0.0841494567232946,0.254350478067761,0,0,54927.3055947846,2175.78372788945,61,214,89,71.8,28,11.2,0.0242580023236319,104,135.066666666667,61,55.1333333333333,3,0,0,197.333333333333,76,96.6333333333333,73,6.03333333333333,9
1,47,0,300,4.79851190482137,0.0159950396827379,0.26804875853478,230.233333333333,3,16619.3566372633,3463.43970107998,0,297,0,0,0,0,0.00256129636703657,38,32.5666666666667,30,23.8666666666667,3,237.9,3,8.03333333333333,8,53.6333333333333,10,0.433333333333333,1
1,48,0,300,14.7951807390762,0.0493172691302541,0.239254461085306,90.4,2,41048.2401471719,2774.43316652141,30,266.533333333333,47,21.4333333333333,16,9.03333333333333,0.0109581478252873,73,60.9333333333333,49,45.5,3,83.7666666666667,7,100.9,61,101.9,54,13.4333333333333,19
1,49,0,300,18.751366846957,0.0625045561565234,0.158789682857875,0,0,44465.0851395651,2371.29834334082,38,178.533333333333,96,65.1666666666667,58,53.3,0.0315451036411881,79,54.6666666666667,64,49.4333333333333,3,0.266666666666667,0,162.633333333333,73,125.5,67,11.6,19
1,50,0,300,23.1586718386994,0.0771955727956645,0.232948133301166,0,0,54955.2632101597,2372.98855447861,11,282.266666666667,23,10.3333333333333,12,4.4,0.00906991787603725,138,107.7,29,25.5,3,0,0,196.466666666667,88,95.8666666666667,79,7.66666666666667,15
1,51,0,300,26.7084504383608,0.0890281681278692,0.262499873092999,0,0,58301.6197881717,2182.89038979343,40,187.266666666667,112,60.0666666666667,71,49.6666666666667,0.0296741568162451,160,172.433333333333,61,48.7333333333333,3,3.86666666666667,4,161.4,80,131.166666666667,78,3.56666666666667,4
1,52,0,300,19.2204329811285,0.0640681099370952,0.184058098322502,0,0,31465.9951629652,1637.11167141031,0,297,0,0,0,0,0.00218719358018766,92,65.8,11,8.13333333333333,3,3.03333333333333,4,254.466666666667,58,28.9666666666667,29,13.5333333333333,21
1,53,0,300,11.9647944308832,0.0398826481029439,0.11499956927991,0,0,13878.2896657149,1159.9271300385,29,95.0666666666667,53,60.4666666666667,25,141.466666666667,0.0553186195657869,11,7.8,10,6.83333333333333,3,0,0,260.4,68,14.2,17,25.4,42
1,54,0,300,5.30708291682259,0.0176902763894086,0.122763401282322,0,0,13295.6087444703,2505.25739899888,32,161.833333333333,38,71.3,5,63.8666666666667,0.0372283613021392,2,1.03333333333333,30,22.4333333333333,3,13.2,16,207.4,89,42.5333333333333,44,36.8666666666667,47
1,55,0,300,21.6085305957261,0.072028435319087,0.140531228124568,0,0,45477.5399240756,2104.61047883887,54,152.733333333333,112,77.4666666666667,58,66.8,0.0379342099139629,92,78.6666666666667,52,40.0666666666667,3,0,0,178.233333333333,83,98.4666666666667,67,23.3,35
1,56,0,300,10.0004886273239,0.0333349620910796,0.18570744628311,0,0,18350.4183072067,1834.95216994385,27,199.533333333333,38,80.6,10,16.8666666666667,0.0264180196506943,9,5.83333333333333,16,9.83333333333333,3,0.7,2,239.666666666667,79,47.4,55,12.2333333333333,18
1,57,0,300,20.5007993734498,0.0683359979114995,0.139406122754875,0,0,36794.1429636662,1794.76625732543,43,195.633333333333,80,61.9666666666667,37,39.4,0.0304064982013177,88,82.8666666666667,13,9.16666666666667,3,0,0,211.166666666667,87,75.4,66,13.4333333333333,19
1,58,0,300,12.1734673192952,0.0405782243976507,0.104996655923815,0,0,21149.5369936193,1737.34700549093,45,179.766666666667,71,97.6,26,19.6333333333333,0.0298363025227214,24,17.5666666666667,17,11.0333333333333,3,2.5,4,207.266666666667,66,63.4,49,26.8333333333333,36
1,59,0,300,16.7799861987114,0.055933287329038,0.143684133440915,0,0,30499.1868699446,1817.59308433083,35,202.033333333333,62,58.5333333333333,27,36.4333333333333,0.0298459857120817,53,49.1,28,20.2,3,2.96666666666667,3,233.633333333333,62,52.7,48,10.7,15
