"bin","ID","time_start_sec","time_end_sec","Distance_m","Mean_speed_m_s","Max_speed_m_s","Time_immobile_s","Immobile_episodes","Absolute_turn_angle_deg","Meander_deg_per_m","Bottom_entries","Bottom_time_s","Middle_entries","Middle_time_s","Top_entries","Top_time_s","Mean_dist_from_bottom_m","Acceleration_episodes_500ms","Acceleration_time_s","Tortuosity_episodes_1s","Tortuosity_time_s","Zone_count","IM_time_s","IM_episodes","NB_time_s","NB_episodes","HS_time_s","HS_episodes","TR_time_s","TR_episodes"
10,25,270,300,1.08321202226808,0.0361070674089361,0.0712737195009914,0,0,910.740350688573,840.777550438945,1,23.1666666666667,2,1.9,1,4.76666666666667,0.025868709396834,0,0,0,0,3,0,0,27.8666666666667,6,0.566666666666667,1,1.56666666666667,3
1,26,0,30,0.181856013987069,0.00606186713290231,0.0554588002522597,15.6333333333333,1,53.9429201845008,296.624340332987,0,29.8666666666667,0,0,0,0,0.00475576330658188,0,0,1,0.566666666666667,3,20.1,1,9.06666666666667,3,0.833333333333333,2,0,0
2,26,30,60,0.0245015130346089,0.000816717101153631,0.0478133458629792,15.9,2,85.0880330084082,3472.76647316513,0,29.8,1,0.2,0,0,0.00979677390701689,0,0,0,0,3,26.9,3,3.1,2,0,0,0,0
3,26,60,90,0.141739035746864,0.00472463452489545,0.0440024650382077,4.86666666666667,1,166.8488968263,1177.15557995104,0,0,0,2.33333333333333,1,27.4666666666667,0.0881991492045951,0,0,0,0,3,7.06666666666667,4,22.9333333333333,4,0,0,0,0
4,26,90,120,0.107544945672027,0.00358483152240089,0.074106633360951,17.0666666666667,3,143.645312585353,1335.67702031688,0,0,2,23.2333333333333,1,6.76666666666667,0.0635479809424991,1,0.533333333333333,0,0,3,24.8,2,4.66666666666667,2,0,0,0.533333333333333,1
5,26,120,150,0,0,0.00640667343006979,26.4,4,0,NA,0,0,1,3.26666666666667,2,26.7333333333333,0.0778086648702342,0,0,0,0,3,30,1,0,0,0,0,0,0
6,26,150,180,0.508755267003152,0.0169585089001051,0.0932766047700183,4.86666666666667,2,602.848698353483,1184.94831887362,1,17.9333333333333,1,0.533333333333333,0,10.8666666666667,0.0390232053723889,0,0,1,0.5,3,14.8333333333333,2,14.3666666666667,4,0.466666666666667,1,0.333333333333333,0
7,26,180,210,0.761708206143643,0.0253902735381214,0.0620321034497657,0,0,189.061171937696,248.206820423886,0,28.3666666666667,0,0,0,0,0.00290708648936591,0,0,0,0,3,0.3,0,28.2666666666667,5,0,0,1.43333333333333,3
8,26,210,240,0.501465949866245,0.0167155316622082,0.0614417321007879,0,0,272.605836572392,543.617840144687,0,29.4333333333333,0,0,0,0,0.00307184299427565,0,0,0,0,3,5.46666666666667,3,23.5666666666667,5,0,0,0.966666666666667,2
9,26,240,270,0,0,0.00588842679321053,28.9,2,0,NA,0,30,0,0,0,0,0.00371255711350724,0,0,0,0,3,30,1,0,0,0,0,0,0
10,26,270,300,0,0,0.0071927200863604,29.0333333333333,1,0,NA,0,30,0,0,0,0,0.00401810542999752,0,0,0,0,3,30,1,0,0,0,0,0,0
1,27,0,30,0.067581367987457,0.00225271226624857,0.0422850682737312,23.6666666666667,1,4.06177628188877,60.1020133632488,0,27.9,1,1.63333333333333,1,0.466666666666667,0.0113452283268086,0,0,0,0,3,25.6,1,4.4,1,0,0,0,0
2,27,30,60,1.07356493706069,0.0357854979020231,0.0695329806104429,0,0,1138.22393308133,1060.2283045846,2,14.1333333333333,4,6.4,2,9.46666666666667,0.0400118135580702,0,0,0,0,3,0,0,29.2,3,0.5,1,0.3,0
3,27,60,90,1.30993313124445,0.0436644377081483,0.0767386280958125,0,0,1177.41451510603,898.835587116937,2,17.1,5,6.46666666666667,3,5.63333333333333,0.0290076906129969,1,0.6,2,1,3,0,0,24.5666666666667,8,0,0,5.43333333333333,8
4,27,90,120,1.50465632353323,0.0501552107844411,0.0832341792016035,0,0,1824.70121847288,1212.70298734273,3,12.8,4,8.13333333333333,1,9.06666666666667,0.0430484698188036,0,0,2,1.06666666666667,3,0,0,21.8333333333333,7,2.86666666666667,3,5.3,5
5,27,120,150,1.57775726105617,0.0525919087018722,0.0853661975258323,0,0,1653.33033672297,1047.89905109752,3,8.53333333333333,8,11.0333333333333,5,10.4333333333333,0.0496381318120231,1,0.9,4,2.5,3,0,0,27.4666666666667,6,1.26666666666667,2,1.26666666666667,2
6,27,150,180,1.80213866889662,0.0600712889632206,0.0856111631416692,0,0,2617.68661120733,1452.5444997027,1,13.4,6,5.16666666666667,5,11.3666666666667,0.0437146660334205,1,0.7,3,1.6,3,0,0,23.9333333333333,10,0.5,1,5.56666666666667,7
7,27,180,210,1.71432989367311,0.0571443297891037,0.0886480762437336,0,0,1617.03345488285,943.245206684346,4,15.5,6,4.16666666666667,2,8.83333333333333,0.0351463327352704,4,2.43333333333333,2,1.16666666666667,3,0,0,18.1666666666667,12,2.43333333333333,5,9.4,10
8,27,210,240,1.47696129582821,0.0492320431942737,0.0840977292933584,0,0,1178.84467491223,798.155427797574,2,8.83333333333333,8,6.23333333333333,6,14.9333333333333,0.0563709792586018,2,2.4,0,0,3,0,0,21.1666666666667,7,0.9,1,7.93333333333333,7
9,27,240,270,1.52340097900896,0.050780032633632,0.0823917662821827,0,0,1954.74221773981,1283.14360084726,2,11.2,7,5.16666666666667,5,13.6333333333333,0.0495836652381279,2,1.3,1,0.5,3,0,0,22.4,9,1.46666666666667,2,6.13333333333333,8
10,27,270,300,1.42080581050643,0.0473601936835478,0.0841440440131467,0,0,1390.66032498918,978.782825003714,2,15.8,4,4.23333333333333,2,9.33333333333333,0.0352810305056974,0,0,2,1.23333333333333,3,0,0,24.8,7,0.4,0,4.8,6
1,28,0,30,0.284900761465719,0.0094966920488573,0.0424002752836432,0,0,106.429188654316,373.5658272964,2,5.03333333333333,4,17.7333333333333,3,7.23333333333333,0.0523349255452678,0,0,0,0,3,1.76666666666667,2,27.7666666666667,3,0,0,0.466666666666667,1
2,28,30,60,0.341365347174583,0.0113788449058194,0.0435278862840633,0,0,108.373899107353,317.471881678511,0,0,0,0,0,30,0.0905364220120614,0,0,0,0,3,1.2,1,28.8,2,0,0,0,0
3,28,60,90,0.3506820242035,0.0116894008067833,0.0482609043254878,0,0,435.500844658125,1241.86817287619,0,0,0,0,0,30,0.0906215150649247,0,0,0,0,3,0,0,28.7333333333333,2,0.666666666666667,1,0.6,1
4,28,90,120,0.197648935208417,0.00658829784028055,0.0460404528896499,0,0,156.158860140132,790.081970213835,1,2.23333333333333,1,1.33333333333333,0,25.7,0.0804454460395169,0,0,0,0,3,0,0,28.7,5,0,0,1.3,2
5,28,120,150,0.767813892105074,0.0255937964035025,0.0611875643209252,0,0,926.647764170561,1206.86506678073,2,17.6,3,4.46666666666667,1,6.76666666666667,0.034146085396291,0,0,0,0,3,0,0,29.3666666666667,2,0,0,0.633333333333333,1
6,28,150,180,0.693782062193686,0.0231260687397895,0.0672379990400616,0,0,318.951951669676,459.729314218898,2,17.9666666666667,4,5.8,2,6.2,0.0349178922589779,0,0,0,0,3,0,0,29.4666666666667,2,0,0,0.533333333333333,1
7,28,180,210,0.90660731451811,0.0302202438172703,0.0606485251254644,0,0,895.942107659004,988.236134114168,5,10.5666666666667,9,13.1666666666667,4,6,0.0432096616413878,0,0,0,0,3,0,0,27.9,4,0,0,2.1,3
8,28,210,240,0.608551898034298,0.0202850632678099,0.0802936442190243,0,0,792.183432387734,1301.75164180178,1,4.66666666666667,5,10.3666666666667,3,14.9666666666667,0.0616028245242317,1,0.5,1,0.4,3,0,0,28.3,3,0,0,1.7,2
9,28,240,270,0.713735955109005,0.0237911985036335,0.0542779076046657,0,0,618.429543716821,866.468249623731,4,17.4,7,10.6333333333333,3,1.96666666666667,0.0321582557781478,0,0,0,0.1,3,0,0,28.8666666666667,3,0,0,1.13333333333333,2
10,28,270,300,0.485222670147544,0.0161740890049181,0.0601277880740322,0,0,556.841129029392,1147.59916073186,5,14.9666666666667,6,10.5333333333333,1,3.7,0.035100832268405,0,0,0,0,3,0.866666666666667,1,28.5666666666667,3,0,0,0.566666666666667,1
